	-0.32	-0.92	2387
0.15	-0.02	-0.97	5881
0.16	-0.02	-0.97	5886
0.15	-0.01	-0.97	5891
0.14	-0.01	-0.96	5896
0.14	-0.01	-0.96	5901
0.14	-0.02	-0.95	5906
0.13	-0.01	-0.94	5911
0.13	-0.02	-0.94	5915
0.13	-0.02	-0.95	5920
0.13	-0.02	-0.96	5925
0.14	-0.02	-0.96	5931
0.14	-0.02	-0.97	5936
0.15	-0.03	-0.97	5941
0.15	-0.02	-0.98	5946
0.16	-0.02	-0.98	5950
0.16	-0.02	-0.97	5955
0.16	-0.02	-0.97	5960
0.16	-0.02	-0.97	5965
0.15	-0.02	-0.96	5970
0.15	-0.02	-0.95	5975
0.15	-0.02	-0.96	5980
0.13	-0.02	-0.96	5985
0.13	-0.02	-0.95	5990
0.13	-0.02	-0.95	5995
0.13	-0.02	-0.96	5999
0.13	-0.02	-0.96	6004
0.13	-0.02	-0.96	6009
0.14	-0.02	-0.96	6014
0.14	-0.01	-0.96	6020
0.15	-0.02	-0.96	6025
0.15	-0.01	-0.96	6030
0.16	-0.02	-0.96	6035
0.15	-0.02	-0.95	6039
0.15	-0.02	-0.93	6044
0.16	-0.02	-0.93	6049
0.16	-0.01	-0.92	6054
0.16	-0.02	-0.90	6060
0.15	-0.02	-0.91	6064
0.15	-0.03	-0.90	6069
0.15	-0.03	-0.90	6074
0.15	-0.03	-0.89	6079
0.15	-0.03	-0.91	6084
0.15	-0.03	-0.92	6088
0.16	-0.03	-0.93	6093
0.15	-0.03	-0.93	6098
0.14	-0.04	-0.93	6104
0.15	-0.03	-0.93	6109
0.16	-0.03	-0.92	6114
0.16	-0.03	-0.93	6119
0.16	-0.02	-0.93	6123
0.17	-0.02	-0.92	6128
0.17	-0.03	-0.91	6133
0.17	-0.02	-0.90	6138
0.16	-0.03	-0.89	6144
0.17	-0.03	-0.88	6148
0.16	-0.03	-0.89	6153
0.16	-0.02	-0.90	6158
0.16	-0.03	-0.90	6163
0.16	-0.03	-0.92	6168
0.18	-0.01	-0.92	6172
0.19	0.00	-0.92	6177
0.19	-0.01	-0.92	6182
0.21	-0.01	-0.90	6188
0.20	-0.01	-0.89	6193
0.18	-0.02	-0.89	6198
0.16	-0.03	-0.92	6203
0.14	-0.04	-0.95	6207
0.12	-0.03	-0.99	6212
0.11	-0.03	-1.05	6217
0.13	-0.02	-1.13	6222
0.15	-0.02	-1.22	6227
0.19	-0.01	-1.33	6232
0.22	0.00	-1.44	6237
0.25	-0.00	-1.54	6242
0.25	-0.01	-1.64	6247
0.29	-0.06	-1.72	6252
0.28	-0.11	-1.81	6257
0.25	-0.15	-1.92	6261
0.23	-0.19	-2.00	6266
0.20	-0.22	-2.00	6272
0.14	-0.23	-2.00	6277
0.07	-0.23	-2.00	6282
0.01	-0.20	-2.00	6286
